file,channel,window_index,activity,mobility,complexity,pulse_width,amplitude_variation,mean_instantaneous_frequency,std_instantaneous_frequency
81739927_0002_processed_ppg_signal.npy,0,31,0.025896027092567213,0.1398550154044006,2.106181304075794,312,0.24794514342517146,-0.00015518354271711719,1.3186936136793435
81739927_0002_processed_ppg_signal.npy,0,32,0.02554443162366246,0.1420500467805266,2.1250272689454275,312,0.2490235522193213,-0.001633188491702742,1.3739119396458506
81739927_0002_processed_ppg_signal.npy,0,33,0.02171567384740044,0.14304619559612547,1.9097605074677748,312,0.2288426676494488,-0.0010513214950653008,1.3325488886473635
81739927_0002_processed_ppg_signal.npy,0,34,0.015521846061562568,0.15338416690738668,1.825579459480435,312,0.1903023688200574,-0.0004936213648583198,1.3719146651594893
81739927_0005_processed_ppg_signal.npy,0,1,0.0262100698470398,0.1661309586216627,2.2156071937294373,277,0.3439610670787732,-0.000982005143757477,0.46118597719816784
81739927_0005_processed_ppg_signal.npy,0,2,0.026147732756899737,0.16432506736893418,2.237168270660095,230,0.348442588042057,1.7849930102138867e-05,0.4384125674259795
81739927_0005_processed_ppg_signal.npy,0,3,0.025556770571056462,0.16579657821135274,2.216054807600887,147,0.3394696657246811,6.838218434263325e-05,0.4450421805925858
81739927_0008_processed_ppg_signal.npy,0,23,0.006586267216342416,0.18243576907726175,1.9950041518842367,312,0.16517212132305864,-0.00044389258254879776,0.32157714919947555
81739927_0008_processed_ppg_signal.npy,0,24,0.00692284615529497,0.1771031515912267,2.036007852279301,312,0.17008021600572362,0.00021808118530021141,0.3316328649817811
81739927_0008_processed_ppg_signal.npy,0,25,0.007539264538102108,0.1706838515663963,2.0825334360732173,312,0.1780940734557257,-0.00029429383409569724,0.3256600459015399
81739927_0008_processed_ppg_signal.npy,0,26,0.009283393893226913,0.18906096246341453,2.2182431679798396,312,0.1949181912240227,-0.0011364162549970828,0.42438004312783734
81739927_0008_processed_ppg_signal.npy,0,27,0.008432473607401153,0.18149330717416357,2.4314686945581254,294,0.19025085584113333,-0.009766889032789498,0.5116763109834898
81739927_0008_processed_ppg_signal.npy,0,41,0.00633609553974287,0.2102402191840962,1.368990622891242,312,0.16185460614392033,-0.0022120147511559053,0.37401849168825596
81739927_0008_processed_ppg_signal.npy,0,42,0.0061147146999913655,0.21559083213374125,1.3212180158460605,312,0.15993424597715328,-0.0006468085504049224,0.38788689753703626
81739927_0008_processed_ppg_signal.npy,0,43,0.006272339863536227,0.2117632892248171,1.3661199611493093,312,0.16020441214002823,-3.175082777005463e-05,0.3460352251331301
81739927_0008_processed_ppg_signal.npy,0,49,0.00613285217558239,0.23578034808654647,1.3574564940806477,312,0.15927464125741161,-0.0003838684283317921,0.36761117175774144
81739927_0008_processed_ppg_signal.npy,0,51,0.006328660256826628,0.23516288599584326,1.3670525710649455,312,0.16064544747583548,0.00031310675351153177,0.37008363670046396
81739927_0008_processed_ppg_signal.npy,0,53,0.008075841547513209,0.23337666644792524,1.3984537996479511,312,0.18355009699657804,-0.002234130573782284,0.424279207715318
81739927_0008_processed_ppg_signal.npy,0,54,0.0078002903213280315,0.2443803040750219,1.3226305338551168,312,0.18133387613530869,-0.0012766638435418704,0.47233011341595726
81739927_0008_processed_ppg_signal.npy,0,55,0.007282477544354417,0.2454385414449278,1.3221440033989276,312,0.17239620816692372,-0.0003722402558629019,0.43103335582228175
81739927_0008_processed_ppg_signal.npy,0,56,0.006256187942225481,0.25041980332567393,1.2984486475542463,312,0.16216982626918014,-0.0008431668297829393,0.40005816592720195
81739927_0008_processed_ppg_signal.npy,0,57,0.006079937723548833,0.24848230957903322,1.316017508691228,312,0.15934669088632358,-0.000946810534308803,0.38441200387355445
81739927_0008_processed_ppg_signal.npy,0,70,0.007373051207395979,0.20535167137761318,1.6984885570171748,312,0.17579704305404584,-0.0022091605807884967,0.4130424585645578
81739927_0008_processed_ppg_signal.npy,0,71,0.008187015966846997,0.19802565978865747,1.6765424575498915,312,0.18311066061337414,-0.002048868076199545,0.416170697860612
81739927_0008_processed_ppg_signal.npy,0,72,0.007226124058832044,0.19097873577906496,1.7275212573626237,312,0.17412786296316118,-0.0003153862941814952,0.3567423328546207
81739927_0008_processed_ppg_signal.npy,0,73,0.006880270574640335,0.18879553833264598,1.7433438984537915,312,0.16934060283773883,-0.0008557294741598086,0.35775458165265034
81739927_0008_processed_ppg_signal.npy,0,77,0.006483940703643612,0.17900227212632316,1.8311152712447238,312,0.16321060811725943,-0.00011887556734557983,0.33860458803225874
81739927_0008_processed_ppg_signal.npy,0,78,0.006708762897768195,0.18024028810300233,1.817874662333635,312,0.16696765167988217,0.001353419225366304,0.34113265072648175
81739927_0008_processed_ppg_signal.npy,0,79,0.006731942793231666,0.18021659102337723,1.8337269397120874,312,0.16796514612571217,-0.00014638178400176418,0.34228460678202544
81739927_0008_processed_ppg_signal.npy,0,80,0.006553902578467683,0.18083352008236014,1.8332534848889093,312,0.16436825217454856,3.2501470866155e-05,0.33941352147218623
81739927_0008_processed_ppg_signal.npy,0,100,0.00757883054005182,0.13952486093232905,2.5140738764854746,312,0.17890505411203111,-0.0017425319965571103,0.28783728281148485
81739927_0008_processed_ppg_signal.npy,0,101,0.00805061451622327,0.129051764693906,2.7955949007045775,312,0.1839890195688132,-0.0019585694761387732,0.2795318632994242
81739927_0008_processed_ppg_signal.npy,0,102,0.008229923910773413,0.12861419544293326,2.776992117732981,312,0.1854193456541905,-0.00011546211575251966,0.2587812961717496
81739927_0008_processed_ppg_signal.npy,0,103,0.00825033539734272,0.13244533753201107,2.68618261965612,312,0.18445356901802812,-0.0008177400927617374,0.2806763678444496
81739927_0008_processed_ppg_signal.npy,0,104,0.008535022382528186,0.1271934134523138,2.706424973877317,312,0.19402911767983302,-0.006041037840530424,0.30546231782339245
81739927_0008_processed_ppg_signal.npy,0,166,0.005962711626679204,0.22983518218444318,1.4735270979681114,312,0.1584588257944871,-0.0010426475414713778,0.3864965417580278
81739927_0008_processed_ppg_signal.npy,0,167,0.006289690485496429,0.19621629701070517,1.7653524456267837,312,0.16126831813289333,-0.003518848019380987,0.3733561223894096
81739927_0008_processed_ppg_signal.npy,0,168,0.0060751535232730774,0.18317287257673256,1.8686239909169187,312,0.15968513336010215,-0.002130283891045937,0.3076200887395561
81739927_0008_processed_ppg_signal.npy,0,169,0.006881172314971984,0.171640126242948,1.9527185135789138,312,0.1695235125649622,-0.000388680324353607,0.31414816610287866
81739927_0008_processed_ppg_signal.npy,0,170,0.0058660690033074765,0.15594444458046416,2.043286420496389,312,0.15724067960202676,0.0005929417813354662,0.2687698560852569
81739927_0008_processed_ppg_signal.npy,0,192,0.0071487291972702136,0.21431201008703185,1.707375718743164,312,0.17360051192178155,-0.0008257915979766295,0.36085377406504915
81739927_0008_processed_ppg_signal.npy,0,193,0.006629144618763092,0.20880171220016572,1.7681389248858135,312,0.16623119015540636,-0.00032519878907316327,0.34322157456893476
81739927_0008_processed_ppg_signal.npy,0,194,0.006117192700780661,0.19883207212644158,1.8768590177572164,312,0.15880547329843064,0.0013738539580515291,0.3090809733456017
81739927_0008_processed_ppg_signal.npy,0,199,0.006967835060009609,0.14980131645432526,2.399584304740521,305,0.1734149722979812,-0.006348718358814689,0.36611233739543464
81739927_0008_processed_ppg_signal.npy,0,200,0.011272866227123184,0.14508922332406854,2.404130753123305,312,0.21464371314535902,-8.970734237069535e-05,0.32023770342800534
81739927_0008_processed_ppg_signal.npy,0,201,0.011753365501794386,0.1399855808228986,2.489285493314506,312,0.22201239154022526,0.0001993181219293717,0.3072941862151641
81739927_0008_processed_ppg_signal.npy,0,202,0.013262595896512713,0.1411688518888639,2.395609758656498,312,0.23641923192264971,-0.0024525841473431154,0.34124102936383316
81739927_0008_processed_ppg_signal.npy,0,203,0.010109275313234597,0.16070453259871828,2.146908290505791,312,0.20794158783201225,-0.001990411990420018,0.37854782578465346
81739927_0008_processed_ppg_signal.npy,0,204,0.007473732062354756,0.14858705493990412,2.143413001334896,305,0.1745840145938912,-0.003291079180582659,0.37878630610043357
81739927_0008_processed_ppg_signal.npy,0,220,0.00640957590941208,0.2741293900577391,1.3332786715747194,312,0.16361542264298404,-0.0022023028479817857,0.44003201671983344
81739927_0008_processed_ppg_signal.npy,0,221,0.0070197331156491025,0.27889859960018976,1.3126754206269902,312,0.17113127877193351,0.00044968289614981123,0.4434829616088239
81739927_0008_processed_ppg_signal.npy,0,222,0.006506113919695556,0.27830024552497395,1.3240059971907865,312,0.1658604009405848,-0.0028804829624740004,0.4479461705634071
81739927_0008_processed_ppg_signal.npy,0,223,0.006390396344775569,0.26739209125139063,1.3935369406224776,311,0.1621194619022614,0.002865920815936225,0.40671551733964834
81739927_0008_processed_ppg_signal.npy,0,224,0.009449460939063733,0.2308396805485973,1.5752417886593812,312,0.19680872954397266,0.0031599404616524437,0.4420627163392692
81739927_0008_processed_ppg_signal.npy,0,225,0.008341379208545304,0.22741670190223193,1.61693324775797,312,0.18615886385233268,-0.004447170988428991,0.46538994400705347
81739927_0008_processed_ppg_signal.npy,0,226,0.00787585399057651,0.21690362371822924,1.6927685825722676,312,0.18027875985701314,-0.0035276016221278423,0.42980878483754237
81739927_0008_processed_ppg_signal.npy,0,227,0.012423861657343315,0.18274827732307292,1.868337800475732,312,0.22459110745984517,-0.0042072498822434716,0.5340184914563303
81739927_0008_processed_ppg_signal.npy,0,228,0.013323470785403217,0.17840067450413805,1.7842236535434948,312,0.2389032978169486,-0.003990778515001685,0.5672210789807346
81739927_0008_processed_ppg_signal.npy,0,229,0.009310084774773712,0.17862072524995373,1.6641441302250812,312,0.19873240495033487,-0.0018911038631738329,0.5039495761383658
81739927_0008_processed_ppg_signal.npy,0,230,0.008572838490766272,0.1620451468495231,1.6323195324768598,312,0.18902362394203492,-1.2849942118928801e-05,0.4733995105832871
81739927_0008_processed_ppg_signal.npy,0,231,0.008384522833536965,0.16791775605914397,1.7019038452202866,312,0.1882052064459213,-0.0007866673049928548,0.4911242002697891
