window_index,mse_scalar,outlier_label,outlier_score
0,,1,
1,,1,
2,,1,
3,,1,
4,,1,
5,,1,
6,,1,
7,,1,
8,,1,
9,0.8145290275219129,-1,-25441.381506877264
10,0.2964588859707448,-1,-1168.7838930249432
11,0.34307806065085655,-1,-3818.9493777700936
12,0.8974416623527467,-1,-20181.235326061495
13,0.32042367416446377,-1,-1610.0151785140526
14,0.24578838529522154,-1,-1773.646231464206
15,0.5684664868078622,-1,-19399.816642209415
16,0.047460116711806936,1,410.8498944652034
17,0.04494102693422648,1,420.614834758726
18,0.05198735313659879,1,416.75849152294415
19,0.04815822740397285,1,423.5012496974835
20,0.0377757150855501,1,435.34005385486694
21,0.014775460361522507,1,436.79425127084454
22,0.01998169947050082,1,435.7405128859295
23,0.028013289134577728,1,435.9681854087854
24,0.02068717894745362,1,436.0728520958471
25,0.022740891658988554,1,437.71436580727277
26,0.019688820044590934,1,436.2701823685629
27,0.021977625909530302,1,435.3780205104278
28,0.019551327963002383,1,437.3040001685765
29,0.026199497018791033,1,436.88871250461943
30,0.04617862317159411,1,426.44525183875265
31,0.025392277935384917,1,435.9727191418373
32,0.022312475194732017,1,435.3789010762883
33,0.019467210094130792,1,437.38132457287014
34,0.019295147482345225,1,435.50563208746536
35,0.06600053405454745,1,381.23435277597025
36,0.03790828531934345,1,428.48818267965413
37,0.04537430866791734,1,428.7800222201473
38,0.0535030352130722,1,425.2339644638894
39,0.040960636572027344,1,433.89373434629357
40,0.04736305121103361,1,409.9446094679618
41,0.06053462629922168,1,383.1792625745489
42,0.061634045665875735,1,373.160030206313
43,0.052043649001211,1,406.66485967263804
44,0.04612180113229171,1,406.0741330173127
45,0.06889345977066247,1,373.81303427518685
46,0.0456401342361762,1,421.42557313084444
47,0.048499157666077826,1,413.7300151941813
48,0.06019319165019655,1,425.42522111966576
49,0.08169278018671737,1,391.35482746767815
50,0.09140567927381815,1,383.94649094656944
51,0.06523186506506391,1,421.75933676395675
52,0.06479711192900436,1,427.11604082797635
53,0.06548780715675,1,420.78135063477214
54,0.0663434930614424,1,430.1370625294415
55,0.08598257906329856,1,376.6787492300589
56,0.129240814490833,1,340.57992125250996
57,0.11367987001027684,1,330.74679375368316
58,0.08235347367726713,1,322.5182431044642
59,0.08627852490296582,1,334.0536750223
60,0.08335684202317657,1,343.6565760203144
61,0.08102628265966785,1,369.6415401487567
62,0.05029614744712585,1,416.9716539921015
63,0.053177609642433336,1,406.8456529630739
64,0.060131953722532556,1,403.17510597063733
65,0.04204996317416898,1,425.117677555349
66,0.052728570770546594,1,415.26270884080816
67,0.0491423478999875,1,431.0061377547428
68,0.06329900070555623,1,396.52385156620755
69,0.062212601154062304,1,404.84617011447364
70,0.023393248263672946,1,435.8227384378573
71,0.036633306723771374,1,432.9545599927286
72,0.033186956806239794,1,435.06273638462534
73,0.06224057048920983,1,424.63865455436473
74,0.08710821113593945,1,385.2920807164335
75,0.07802253373181971,1,401.9690917943738
76,0.05217527000464518,1,419.4259343281099
77,0.04677495117549556,1,423.2146480472153
78,0.06285118574015496,1,411.0669913574498
79,0.06565250451881635,1,404.1950625196231
80,0.04781925564772055,1,415.1888975980893
81,0.0423029641934365,1,418.25748864500474
82,0.0451585176336886,1,421.56371792847347
83,0.03480288692720012,1,427.2822575334625
84,0.023131339328075613,1,432.8184733808149
85,0.030290105302351936,1,426.45989106423866
86,0.05893318647087945,1,380.8703834596195
87,0.040305446371637146,1,418.1763882049228
88,0.04781756494314519,1,420.1488682619261
89,0.07412290890150726,1,399.3569751498224
90,0.08523690354799307,1,419.031526958892
91,0.0894284203740813,1,389.0201535914701
92,0.051462814450683285,1,424.91443036144676
93,0.03888132466119132,1,433.7298466436384
94,0.021661494206194374,1,436.7024782788717
95,0.030002420412383657,1,436.30478842772993
96,0.03271598141533513,1,432.68929823913044
97,0.023179500010684688,1,434.4648023422048
98,0.017817677198736014,1,435.0663053126238
99,0.031078257294860922,1,433.17717384640946
100,0.05373116393318216,1,334.8435561936847
101,0.04741326866021757,1,384.00600060814696
102,0.05005218499763482,1,386.2097345804721
103,0.04523579069862598,1,411.92023445666746
104,0.057719815008591004,1,384.3177004119501
105,0.05427578391559231,1,380.1086102292144
106,0.05460849636456141,1,408.417348938566
107,0.05696846965033683,1,367.1826260404935
108,0.036703975378208055,1,405.8084082345031
109,0.02126439994126859,1,436.2931121364658
110,0.0322536030472,1,428.7994242122187
111,0.027049897592485557,1,437.2729150449253
112,0.030098698407560083,1,429.679058496759
113,0.02333152413245392,1,435.56702154727117
114,0.03048836021024264,1,431.9206467756545
115,0.042866823995240604,1,420.3418288417031
116,0.043932658143905005,1,427.6079587647199
117,0.050968702971838926,1,416.65191411812094
118,0.04649303998666528,1,430.51801218076605
119,0.08157405710670791,1,352.01990947082504
120,0.06891930017441972,1,383.09561301441477
121,0.08275152958959306,1,406.9812232136431
122,0.07086450418742056,1,410.85258299764723
123,0.07889096786139269,1,402.3704962922764
124,0.06239988505027838,1,391.6936622810598
125,0.060070299896432276,1,419.3869082580912
126,0.09189687494360513,1,401.82285473937435
127,0.10609929460348917,1,357.3823167026277
128,0.11932692193256368,1,368.6203034048672
129,0.04233352026186159,1,415.4071315102308
130,0.05097316926200197,1,422.7916655177125
131,0.044640579867224604,1,410.9621210731551
132,0.045452935374760715,1,418.4425656032633
133,0.04489724403905228,1,408.27303343395255
134,0.0249590891437689,1,434.33775520751664
135,0.029359665643970596,1,422.8973411725237
136,0.05276113814595985,1,416.7833056339389
137,0.045895509643319746,1,396.2723703202896
138,0.06093347660587022,1,397.79189589550526
139,0.0414160456721832,1,422.99663187001613
140,0.04889013643635357,1,419.816468007552
141,0.05209354459479105,1,417.0855742401465
142,0.056593547789254815,1,413.4434754030952
143,0.05600653753555141,1,413.3719838810616
144,0.059293577479890995,1,419.9895160653273
145,0.0841498714952037,1,392.5325148407102
146,0.10656374514797341,1,328.0142261803905
147,0.09177281769336629,1,375.069063430665
148,0.14828842464568145,1,175.65330866358022
149,0.11056141486119,1,269.5046955117245
150,0.09669394364097147,1,315.4765124795936
151,0.09958725665283896,1,316.85640862836584
152,0.11786872136730144,1,266.4697163357092
153,0.12790479737503402,1,248.29925207610356
154,0.08384858436519219,1,401.17546023014756
155,0.05189666673909012,1,427.5226162707665
156,0.05835678995051941,1,414.12044835798133
157,0.05649412566899247,1,417.43178517738926
158,0.05020184577597551,1,416.4948652994345
159,0.03715658213126378,1,423.5596543069101
